거래번호,거래일시,사원번호,사용처,결제수단,거래타입,총결제금액,식권결제금액,쿠폰명
202304123490889058,2023.04.12 12:49:42,d14aa7645614109b307b015e,오한수 우육면가( 판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490889086,2023.04.12 12:49:43,e508ea243e0756e918944855,킨파,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490889182,2023.04.12 12:49:48,7471d72b55d1eca2d543852d,태호식당(분당구상록면),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490889291,2023.04.12 12:49:53,b12c0e479edbadcd08d77db5,오한수 우육면가( 판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284249335,2023.04.12 12:49:58,fc06c4f0a4b8424ad05a0bad,버거킹(판교유스페이스),쿠폰,승인,11400,11400,넥슨코리아 식권 (월~금)
202304123490889524,2023.04.12 12:50:03,d8ebb0871cb7afec385137d0,울프스덴,포인트복합결제,승인,47000,12000,넥슨코리아 식권 (월~금)
202304123490889634,2023.04.12 12:50:07,18076e2f7d65ffc226e81ba7,자연횟집(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490889795,2023.04.12 12:50:14,a98fe99dad543b355be85783,김치도가(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490889971,2023.04.12 12:50:21,8e111a2df08105e6f1b18aa2,김치도가(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490890106,2023.04.12 12:50:26,cd7322c5203ca7b0c61643be,김치도가(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490890096,2023.04.12 12:50:26,1aeedeb1ddec7565b1015adb,자연횟집(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490890244,2023.04.12 12:50:31,92ea113820bc5fea54f5d842,김치도가(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490890323,2023.04.12 12:50:35,b2c5fe8fbe5e1e40dee024c8,고씨네(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490890325,2023.04.12 12:50:36,1db20e8fff738c89c3868d1b,태호식당(분당구상록면),쿠폰,승인,11000,11000,넥슨코리아 식권 (월~금)
202304123490890366,2023.04.12 12:50:38,af52677c620b0ac51528f034,김치도가(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490890393,2023.04.12 12:50:39,25c044314348b015f15455b1,(주)엔바이콘 하이포크,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490890498,2023.04.12 12:50:43,1dd716fcf96d197cec9a9cec,자연횟집(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490890552,2023.04.12 12:50:45,3e2dda618b1e1e9b85c47f58,(주)엔바이콘 하이포크,쿠폰,승인,9600,9600,넥슨코리아 식권 (월~금)
202304123490890583,2023.04.12 12:50:47,c177d2d7d76dd1a8c6217f97,고씨네(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490890871,2023.04.12 12:51:00,efa8f4140e4e1ef31144131d,고씨네(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284249673,2023.04.12 12:51:11,3ad43b45380376195f846a9e,샐러디(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490891266,2023.04.12 12:51:16,2632f53afbd7c467cd693c95,자연횟집(판교점),포인트복합결제,승인,13000,12000,넥슨코리아 식권 (월~금)
202304123490891690,2023.04.12 12:51:35,1b7d544dae906a724f4a0e24,(주)엔바이콘 판교순대,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490891757,2023.04.12 12:51:38,98d51d54aecf8264e9ec145a,태호식당(분당구상록면),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490891865,2023.04.12 12:51:43,df23b31560352b160fdb0be5,(주)엔바이콘 판교순대,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490891934,2023.04.12 12:51:46,93a0c4fa3fb09c4a9d39a140,토속상황삼계탕,포인트복합결제,승인,15000,12000,넥슨코리아 식권 (월~금)
202304123490892025,2023.04.12 12:51:51,1d9e77c1346f3533e60e34d1,(주)엔바이콘 판교순대,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490892045,2023.04.12 12:51:52,bb36a51fb236292ec88eca51,자연횟집(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490892418,2023.04.12 12:52:08,4a3fba8798fc14f02fb1a68f,(주)엔바이콘 판교순대,쿠폰,승인,4050,4050,넥슨코리아 식권 (월~금)
